city,place_type,place_type_display,total_count,excellent_count,excellence_percentage,excellence_rank,readable_timestamp,ingestion_timestamp
Berlin,cafe,Cafes,3586,1858,51.81,1,2025-07-26 16:23:51+00:00,1753547031837184000
London,cafe,Cafes,8014,3980,49.66,2,2025-07-26 16:23:51+00:00,1753547031837184000
Amsterdam,cafe,Cafes,1186,544,45.87,3,2025-07-26 16:23:51+00:00,1753547031837184000
Copenhagen,cafe,Cafes,818,306,37.41,4,2025-07-26 16:23:51+00:00,1753547031837184000
Helsinki,cafe,Cafes,944,316,33.47,5,2025-07-26 16:23:51+00:00,1753547031837184000
Stockholm,cafe,Cafes,672,184,27.38,6,2025-07-26 16:23:51+00:00,1753547031837184000
Berlin,restaurant,Restaurants,10789,5263,48.78,1,2025-07-26 16:23:51+00:00,1753547031837184000
London,restaurant,Restaurants,22424,9246,41.23,2,2025-07-26 16:23:51+00:00,1753547031837184000
Amsterdam,restaurant,Restaurants,4613,1849,40.08,3,2025-07-26 16:23:51+00:00,1753547031837184000
Copenhagen,restaurant,Restaurants,2657,863,32.48,4,2025-07-26 16:23:51+00:00,1753547031837184000
Helsinki,restaurant,Restaurants,3934,1104,28.06,5,2025-07-26 16:23:51+00:00,1753547031837184000
Stockholm,restaurant,Restaurants,3592,862,24.0,6,2025-07-26 16:23:51+00:00,1753547031837184000
